GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2002,99851,38382286,100.0,10513476,2549208,401234
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2002,652,605556,1.6,142887,34779,4076
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2002,1626,894132,2.3,243891,71722,9614
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2002,2001,1304265,3.4,379305,104682,13861
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2002,2331,1867622,4.9,513842,138923,17574
0100000US,,United States,811111,General automotive repair,A,All establishments,001,All firms,2002,82766,31747964,100.0,8587989,2081370,328924
0100000US,,United States,811111,General automotive repair,A,All establishments,804,4 largest firms,2002,650,603014,1.9,139874,33922,4013
0100000US,,United States,811111,General automotive repair,A,All establishments,808,8 largest firms,2002,1588,859861,2.7,234817,69750,9410
0100000US,,United States,811111,General automotive repair,A,All establishments,820,20 largest firms,2002,1848,1223757,3.9,349955,97574,12943
0100000US,,United States,811111,General automotive repair,A,All establishments,850,50 largest firms,2002,2060,1724810,5.4,470001,129456,16321
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,001,All firms,2002,82766,31747964,100.0,8587989,2081370,328924
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,650,603014,1.9,139874,33922,4013
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,1588,859861,2.7,234817,69750,9410
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,1848,1223757,3.9,349955,97574,12943
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,2060,1724810,5.4,470001,129456,16321
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,001,All firms,2002,3620,1239769,100.0,338349,80960,13854
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,804,4 largest firms,2002,74,57344,4.6,15962,3693,520
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,808,8 largest firms,2002,100,89911,7.3,26530,6090,873
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,820,20 largest firms,2002,142,140457,11.3,40124,9251,1312
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,850,50 largest firms,2002,255,214026,17.3,60896,14154,1955
0100000US,,United States,811112,Automotive exhaust system repair,T,Establishments subject to federal income tax,001,All firms,2002,3620,1239769,100.0,338349,80960,13854
0100000US,,United States,811112,Automotive exhaust system repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,74,57344,4.6,15962,3693,520
0100000US,,United States,811112,Automotive exhaust system repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,100,89911,7.3,26530,6090,873
