GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,51,Information,001,All firms,2002,137678,891845956,100.0,194670163,51062366,3736061
0100000US,,United States,51,Information,804,4 largest firms,2002,19010,206855121,23.2,38184118,10249481,688096
0100000US,,United States,51,Information,808,8 largest firms,2002,24364,306515052,34.4,55736008,14528838,936265
0100000US,,United States,51,Information,820,20 largest firms,2002,32882,432770943,48.5,74640162,19623860,1260209
0100000US,,United States,51,Information,850,50 largest firms,2002,40838,552558504,62.0,98011822,25841074,1729358
0100000US,,United States,511,Publishing industries (except Internet),001,All firms,2002,32287,242216369,100.0,65680724,16673164,1089585
0100000US,,United States,511,Publishing industries (except Internet),804,4 largest firms,2002,328,44425643,18.3,10551021,2252573,91804
0100000US,,United States,511,Publishing industries (except Internet),808,8 largest firms,2002,633,62327688,25.7,12913273,2937331,131836
0100000US,,United States,511,Publishing industries (except Internet),820,20 largest firms,2002,1220,97187822,40.1,20049688,4860643,249761
0100000US,,United States,511,Publishing industries (except Internet),850,50 largest firms,2002,2756,134697176,55.6,29006919,7361689,385141
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",001,All firms,2002,22334,138710521,100.0,30745775,7864341,732877
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",804,4 largest firms,2002,359,18833705,13.6,3252242,899408,73305
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",808,8 largest firms,2002,658,33904552,24.4,6023657,1599107,127239
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",820,20 largest firms,2002,1191,62394476,45.0,10719157,2856676,206320
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",850,50 largest firms,2002,2612,87159047,62.8,16103284,4246100,335836
0100000US,,United States,51111,Newspaper publishers,001,All firms,2002,8603,46179063,100.0,13734533,3407424,401170
0100000US,,United States,51111,Newspaper publishers,804,4 largest firms,2002,258,14712724,31.9,3827422,969052,88755
0100000US,,United States,51111,Newspaper publishers,808,8 largest firms,2002,436,20364605,44.1,5444060,1382206,126742
0100000US,,United States,51111,Newspaper publishers,820,20 largest firms,2002,727,28596731,61.9,7841058,1971932,190585
0100000US,,United States,51111,Newspaper publishers,850,50 largest firms,2002,1396,35804592,77.5,10045704,2511457,256877
0100000US,,United States,511110,Newspaper publishers,001,All firms,2002,8603,46179063,100.0,13734533,3407424,401170
0100000US,,United States,511110,Newspaper publishers,804,4 largest firms,2002,258,14712724,31.9,3827422,969052,88755
0100000US,,United States,511110,Newspaper publishers,808,8 largest firms,2002,436,20364605,44.1,5444060,1382206,126742
0100000US,,United States,511110,Newspaper publishers,820,20 largest firms,2002,727,28596731,61.9,7841058,1971932,190585
0100000US,,United States,511110,Newspaper publishers,850,50 largest firms,2002,1396,35804592,77.5,10045704,2511457,256877
0100000US,,United States,51112,Periodical publishers,001,All firms,2002,7298,40180864,100.0,8377685,2195464,152227
0100000US,,United States,51112,Periodical publishers,804,4 largest firms,2002,127,10300360,25.6,1184956,330956,12091
0100000US,,United States,51112,Periodical publishers,808,8 largest firms,2002,742,15183792,37.8,2019393,543870,30498
0100000US,,United States,51112,Periodical publishers,820,20 largest firms,2002,866,21641794,53.9,3382762,945617,46669
0100000US,,United States,51112,Periodical publishers,850,50 largest firms,2002,1047,26510525,66.0,4543451,1242098,65376
0100000US,,United States,511120,Periodical publishers,001,All firms,2002,7298,40180864,100.0,8377685,2195464,152227
0100000US,,United States,511120,Periodical publishers,804,4 largest firms,2002,127,10300360,25.6,1184956,330956,12091
0100000US,,United States,511120,Periodical publishers,808,8 largest firms,2002,742,15183792,37.8,2019393,543870,30498
0100000US,,United States,511120,Periodical publishers,820,20 largest firms,2002,866,21641794,53.9,3382762,945617,46669
0100000US,,United States,511120,Periodical publishers,850,50 largest firms,2002,1047,26510525,66.0,4543451,1242098,65376
0100000US,,United States,51113,Book publishers,001,All firms,2002,3526,27928786,100.0,4966519,1343509,97080
0100000US,,United States,51113,Book publishers,804,4 largest firms,2002,121,11361038,40.7,1635685,492129,28599
0100000US,,United States,51113,Book publishers,808,8 largest firms,2002,134,15411098,55.2,2134918,638450,35766
0100000US,,United States,51113,Book publishers,820,20 largest firms,2002,191,20305513,72.7,3077325,873058,51364
0100000US,,United States,51113,Book publishers,850,50 largest firms,2002,245,22608902,81.0,3547457,992822,60374
0100000US,,United States,511130,Book publishers,001,All firms,2002,3526,27928786,100.0,4966519,1343509,97080
0100000US,,United States,511130,Book publishers,804,4 largest firms,2002,121,11361038,40.7,1635685,492129,28599
0100000US,,United States,511130,Book publishers,808,8 largest firms,2002,134,15411098,55.2,2134918,638450,35766
0100000US,,United States,511130,Book publishers,820,20 largest firms,2002,191,20305513,72.7,3077325,873058,51364
0100000US,,United States,511130,Book publishers,850,50 largest firms,2002,245,22608902,81.0,3547457,992822,60374
0100000US,,United States,51114,Directory and mailing list publishers,001,All firms,2002,1915,16920189,100.0,2583666,635878,55820
0100000US,,United States,51114,Directory and mailing list publishers,804,4 largest firms,2002,339,10201006,60.3,793426,202358,17707
0100000US,,United States,51114,Directory and mailing list publishers,808,8 largest firms,2002,585,12110891,71.6,1194287,298294,26674
0100000US,,United States,51114,Directory and mailing list publishers,820,20 largest firms,2002,650,14067721,83.1,1667550,415527,35298
0100000US,,United States,51114,Directory and mailing list publishers,850,50 largest firms,2002,777,15227616,90.0,2035250,503194,43281
0100000US,,United States,511140,Directory and mailing list publishers,001,All firms,2002,1915,16920189,100.0,2583666,635878,55820
0100000US,,United States,511140,Directory and mailing list publishers,804,4 largest firms,2002,339,10201006,60.3,793426,202358,17707
0100000US,,United States,511140,Directory and mailing list publishers,808,8 largest firms,2002,585,12110891,71.6,1194287,298294,26674
0100000US,,United States,511140,Directory and mailing list publishers,820,20 largest firms,2002,650,14067721,83.1,1667550,415527,35298
0100000US,,United States,511140,Directory and mailing list publishers,850,50 largest firms,2002,777,15227616,90.0,2035250,503194,43281
0100000US,,United States,51119,Other publishers,001,All firms,2002,992,7501619,100.0,1083372,282066,26580
0100000US,,United States,51119,Other publishers,804,4 largest firms,2002,130,5355103,71.4,593136,168133,14080
0100000US,,United States,51119,Other publishers,808,8 largest firms,2002,138,5828452,77.7,675465,183858,16154
0100000US,,United States,51119,Other publishers,820,20 largest firms,2002,153,6484381,86.4,784294,210559,18928
0100000US,,United States,51119,Other publishers,850,50 largest firms,2002,192,6893797,91.9,893291,235856,21129
0100000US,,United States,511191,Greeting card publishers,001,All firms,2002,118,5355731,100.0,633123,177655,15707
0100000US,,United States,511191,Greeting card publishers,804,4 largest firms,2002,17,D,D,D,D,j
0100000US,,United States,511191,Greeting card publishers,808,8 largest firms,2002,22,D,D,D,D,j
0100000US,,United States,511191,Greeting card publishers,820,20 largest firms,2002,38,5307219,99.1,617690,173680,15113
0100000US,,United States,511191,Greeting card publishers,850,50 largest firms,2002,68,5347129,99.8,630922,177026,15574
0100000US,,United States,511199,All other publishers,001,All firms,2002,874,2145888,100.0,450249,104411,10873
0100000US,,United States,511199,All other publishers,804,4 largest firms,2002,117,D,D,D,D,g
0100000US,,United States,511199,All other publishers,808,8 largest firms,2002,127,D,D,D,D,h
0100000US,,United States,511199,All other publishers,820,20 largest firms,2002,143,1476031,68.8,241254,53951,5415
0100000US,,United States,511199,All other publishers,850,50 largest firms,2002,175,1703897,79.4,304117,68557,6769
0100000US,,United States,5112,Software publishers,001,All firms,2002,9953,103505848,100.0,34934949,8808823,356708
0100000US,,United States,5112,Software publishers,804,4 largest firms,2002,196,40889885,39.5,9724918,2106331,54521
0100000US,,United States,5112,Software publishers,808,8 largest firms,2002,455,47191934,45.6,11858521,2688301,75140
0100000US,,United States,5112,Software publishers,820,20 largest firms,2002,887,58254332,56.3,16472547,3979653,120636
0100000US,,United States,5112,Software publishers,850,50 largest firms,2002,1380,68993381,66.7,20241698,4993516,162590
0100000US,,United States,51121,Software publishers,001,All firms,2002,9953,103505848,100.0,34934949,8808823,356708
0100000US,,United States,51121,Software publishers,804,4 largest firms,2002,196,40889885,39.5,9724918,2106331,54521
0100000US,,United States,51121,Software publishers,808,8 largest firms,2002,455,47191934,45.6,11858521,2688301,75140
0100000US,,United States,51121,Software publishers,820,20 largest firms,2002,887,58254332,56.3,16472547,3979653,120636
