GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,52,Finance and insurance,001,All firms,2002,440268,2803854868,100.0,377790172,112112306,6578817
0100000US,,United States,52,Finance and insurance,804,4 largest firms,2002,7067,277543214,9.9,34045937,10932944,524199
0100000US,,United States,52,Finance and insurance,808,8 largest firms,2002,15942,451734254,16.1,50538848,17398544,816148
0100000US,,United States,52,Finance and insurance,820,20 largest firms,2002,42674,790144101,28.2,86676894,28052298,1465040
0100000US,,United States,52,Finance and insurance,850,50 largest firms,2002,62766,1259107202,44.9,131407227,42184141,2155644
0100000US,,United States,521,Monetary authorities- central bank,001,All firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,521,Monetary authorities- central bank,804,4 largest firms,2002,20,19441248,67.2,625057,160011,10001
0100000US,,United States,521,Monetary authorities- central bank,808,8 largest firms,2002,33,25972186,89.8,950683,238740,16378
0100000US,,United States,521,Monetary authorities- central bank,820,20 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,521,Monetary authorities- central bank,850,50 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,5211,Monetary authorities- central bank,001,All firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,5211,Monetary authorities- central bank,804,4 largest firms,2002,20,19441248,67.2,625057,160011,10001
0100000US,,United States,5211,Monetary authorities- central bank,808,8 largest firms,2002,33,25972186,89.8,950683,238740,16378
0100000US,,United States,5211,Monetary authorities- central bank,820,20 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,5211,Monetary authorities- central bank,850,50 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,52111,Monetary authorities- central bank,001,All firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,52111,Monetary authorities- central bank,804,4 largest firms,2002,20,19441248,67.2,625057,160011,10001
0100000US,,United States,52111,Monetary authorities- central bank,808,8 largest firms,2002,33,25972186,89.8,950683,238740,16378
0100000US,,United States,52111,Monetary authorities- central bank,820,20 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,52111,Monetary authorities- central bank,850,50 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,521110,Monetary authorities- central bank,001,All firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,521110,Monetary authorities- central bank,804,4 largest firms,2002,20,19441248,67.2,625057,160011,10001
0100000US,,United States,521110,Monetary authorities- central bank,808,8 largest firms,2002,33,25972186,89.8,950683,238740,16378
0100000US,,United States,521110,Monetary authorities- central bank,820,20 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,521110,Monetary authorities- central bank,850,50 largest firms,2002,47,28909454,100.0,1234355,308694,22367
0100000US,,United States,522,Credit intermediation and related activities,001,All firms,2002,196451,1055713787,100.0,151201599,43114981,3299521
0100000US,,United States,522,Credit intermediation and related activities,804,4 largest firms,2002,8279,227363172,21.5,25717203,8825615,479066
0100000US,,United States,522,Credit intermediation and related activities,808,8 largest firms,2002,26856,341122496,32.3,43771070,14323513,897648
0100000US,,United States,522,Credit intermediation and related activities,820,20 largest firms,2002,42441,490164661,46.4,60023372,18959969,1226450
0100000US,,United States,522,Credit intermediation and related activities,850,50 largest firms,2002,55152,619579309,58.7,76427558,23694611,1555560
0100000US,,United States,5221,Depository credit intermediation,001,All firms,2002,114581,604573768,100.0,96130470,29121067,2196669
0100000US,,United States,5221,Depository credit intermediation,804,4 largest firms,2002,10559,146420847,24.2,24919325,9171453,438160
0100000US,,United States,5221,Depository credit intermediation,808,8 largest firms,2002,22177,210924741,34.9,33562472,11606966,657173
